,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,snow.1h,message,rain.1h
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826099.0,10800.0,1082243.0,Ambilobe,200,49.05,-13.2,78.04,78.89,78.04,78.04,1015.0,71.0,1015.0,1011.0,6.4,70.0,14.85,79.0,MG,1636769226.0,1636814953.0,,,,,
1,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826100.0,25200.0,1507390.0,Dikson,200,80.5464,73.5069,-2.76,-15.36,-2.76,-2.76,996.0,91.0,996.0,990.0,9.84,355.0,18.72,99.0,RU,0.0,0.0,,,,,
2,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1636826100.0,7200.0,3369157.0,Cape Town,200,18.4232,-33.9258,66.29,65.62,65.1,67.08,1019.0,64.0,,,1.99,0.0,5.01,20.0,ZA,1636774552.0,1636824330.0,2.0,2033665.0,,,
3,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1636825972.0,14400.0,286621.0,Salalah,200,54.0924,17.0151,76.89,77.11,76.89,76.89,1016.0,60.0,1016.0,1014.0,2.04,21.0,2.71,6.0,OM,1636770427.0,1636811332.0,,,,,
4,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1636826101.0,34200.0,2063039.0,Port Keats,200,129.55,-14.25,82.76,88.16,82.76,82.76,1008.0,71.0,1008.0,1005.0,8.16,69.0,16.06,99.0,AU,1636836212.0,1636882143.0,,,,,
5,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,3138.0,1636826101.0,3600.0,780687.0,Berlevåg,200,29.0864,70.8578,33.66,21.06,33.66,33.66,1014.0,82.0,1014.0,1014.0,25.37,21.0,26.89,99.0,NO,1636790346.0,1636803418.0,,,0.12,,
6,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826102.0,-18000.0,5183234.0,Carlisle,200,-77.1889,40.2015,41.94,37.47,37.89,46.51,1025.0,78.0,,,7.0,241.0,18.01,100.0,US,1636804347.0,1636840434.0,2.0,2009509.0,,,
8,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1636826103.0,25200.0,2022572.0,Khatanga,200,102.5,71.9667,-13.58,-26.18,-13.58,-13.58,1004.0,89.0,1004.0,1000.0,5.73,122.0,12.3,75.0,RU,1636861802.0,1636869539.0,,,,,
9,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826104.0,46800.0,6201424.0,Mataura,200,168.8643,-46.1927,46.96,46.96,46.96,46.96,993.0,100.0,993.0,986.0,1.21,70.0,4.59,100.0,NZ,1636823020.0,1636876462.0,,,,,
10,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1636826104.0,-32400.0,4030556.0,Rikitea,200,-134.9692,-23.1203,72.95,73.42,72.95,72.95,1016.0,74.0,1016.0,1013.0,11.5,138.0,11.23,99.0,PF,1636812502.0,1636860016.0,,,,,
